reservation_id,date_reservation,date_arrivee,region_hotel,ville,type_destination,hotel_id,categorie_hotel,segment_client,marche_origine,canal_reservation,moyen_transport,delai_reservation_jours,nuits,adultes,enfants,chambres,formule_repas,tarif_remboursable,type_acompte,prix_moyen_nuit_eur,remise_pct,montant_total_eur,client_type,reservations_passees,annulations_passees,demandes_speciales,modifications_reservation,jours_liste_attente,evenement_majeur,haute_saison_regionale,arrivee_weekend,agent_id,reservation_annulee,prix_impute,enfants_manquant,demandes_manquant,reservation_directe,taux_annulation_passe,sans_historique,personnes,personnes_par_chambre,avec_enfants,prix_par_personne,montant_par_nuit,acompte_ord,remboursable,score_engagement,flexibilite_totale,mois_arrivee,mois_reservation,sin_mois,cos_mois,log_delai,delai_par_nuit,a_modifie,ix_delai_acompte,ix_delai_remb,ix_delai_direct,ix_remb_acompte,ix_delai_modif,ix_delai_dem,prix_relatif_hotel,prix_relatif_saison,y_reel,proba,y_predit,type_erreur
R004549,2025-01-10,2025-02-05,Lombardia,Milano,affaires_lacs,LOM-3-3,3,famille,Europe_Ouest,plateforme_en_ligne,avion_direct,26,3,2,2.0,1,petit_dejeuner,oui,aucun,227.34,7,634.28,nouveau,0,0,0.0,0,6,1,0,0,AG012,0,0,0,0,0,0.0,1,4.0,4.0,1,158.57,211.42666666666665,0.0,1,-1.0,1,2,1,0.8660254037844386,0.5000000000000001,3.295836866004329,8.666666666666666,0,0.0,3.295836866004329,0.0,0.0,0.0,0.0,1.126058744861063,1.0454096061435174,0,0.392696481367322,1,faux positif
R005237,2025-01-10,2025-01-18,Campania,Napoli,urbaine_cotiere,CAM-5-2,5,famille,Italie,telephone,voiture,8,3,2,3.0,2,petit_dejeuner,oui,aucun,184.62,8,1019.1,nouveau,0,0,1.0,0,0,0,0,1,DIRECT,0,0,0,0,1,0.0,1,5.0,2.5,1,203.82,339.7,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,2.1972245773362196,2.6666666666666665,0,0.0,2.1972245773362196,2.1972245773362196,0.0,0.0,2.1972245773362196,0.8850855745721271,1.2010538984484274,0,0.33254646675657645,1,faux positif
R005311,2025-01-10,2025-02-10,Veneto,Venezia,urbaine_littorale,VEN-3-3,3,groupe,Europe_Ouest,site_hotel,avion_direct,31,2,4,0.0,2,petit_dejeuner,non,aucun,161.77,7,601.78,nouveau,0,0,2.0,1,0,0,0,0,DIRECT,1,0,0,0,1,0.0,1,4.0,2.0,0,150.445,300.89,0.0,0,0.0,0,2,1,0.8660254037844386,0.5000000000000001,3.4657359027997265,15.5,1,0.0,0.0,3.4657359027997265,0.0,3.4657359027997265,6.931471805599453,0.8665196480671041,0.8667023841414412,1,0.2427007124564447,1,vrai positif
R006437,2025-01-10,2025-01-24,Veneto,Venezia,urbaine_littorale,VEN-3-2,3,groupe,Autres,entreprise,avion_correspondance,14,2,3,0.0,2,petit_dejeuner,oui,aucun,186.89,6,702.71,nouveau,0,0,0.0,1,0,0,0,1,DIRECT,1,0,0,1,1,0.0,1,3.0,1.5,0,234.23666666666668,351.355,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,2.70805020110221,7.0,1,0.0,2.70805020110221,2.70805020110221,0.0,2.70805020110221,0.0,0.914603112459626,0.9620116332938692,1,0.21791760242550728,0,faux négatif
R006554,2025-01-10,2025-02-12,Trentino-Alto_Adige,Bolzano,montagne,TRE-4-2,4,famille,Italie,plateforme_en_ligne,voiture,33,2,2,2.0,1,petit_dejeuner,non,aucun,223.49,0,446.98,nouveau,0,0,3.0,0,0,0,1,0,AG031,0,0,0,0,0,0.0,1,4.0,4.0,1,111.745,223.49,0.0,0,0.0,0,2,1,0.8660254037844386,0.5000000000000001,3.5263605246161616,16.5,0,0.0,0.0,0.0,0.0,0.0,10.579081573848484,1.1863785964539761,1.0290542407219818,0,0.21565180879823007,0,vrai négatif
R007403,2025-01-10,2025-01-21,Lombardia,Milano,affaires_lacs,LOM-3-1,3,affaires,Italie,site_hotel,train,11,3,2,0.0,1,aucune,oui,partiel,233.86,0,701.58,nouveau,0,0,2.0,0,0,0,0,0,DIRECT,0,0,0,0,1,0.0,1,2.0,2.0,0,350.79,233.86,1.0,1,0.0,0,1,1,0.49999999999999994,0.8660254037844387,2.4849066497880004,3.6666666666666665,0,2.4849066497880004,2.4849066497880004,2.4849066497880004,1.0,0.0,4.969813299576001,1.196306621991457,1.1954810346590328,0,0.169581061274543,0,vrai négatif
R001482,2025-01-11,2025-01-30,Lazio,Roma,urbaine_culturelle,LAZ-4-1,4,famille,Europe_Centrale,plateforme_en_ligne,avion_direct,19,3,2,2.0,1,demi_pension,non,total,150.87,1,448.08,nouveau,0,0,1.0,0,0,0,0,0,AG006,0,0,0,0,0,0.0,1,4.0,4.0,1,112.02,149.35999999999999,2.0,0,2.0,0,1,1,0.49999999999999994,0.8660254037844387,2.995732273553991,6.333333333333333,0,5.991464547107982,0.0,0.0,0.0,0.0,2.995732273553991,0.738689776733255,0.8237510237510237,0,0.11208806747255756,0,vrai négatif
R001749,2025-01-11,2026-01-20,Sicilia,Palermo,insulaire_mixte,SIC-4-2,4,solo,Europe_Ouest,site_hotel,avion_direct,374,9,1,1.0,1,aucune,oui,aucun,144.21,4,1245.97,fidele,1,0,0.0,1,0,0,0,0,DIRECT,1,0,0,0,1,0.0,0,2.0,2.0,1,622.985,138.44111111111113,0.0,1,-1.0,1,1,1,0.49999999999999994,0.8660254037844387,5.926926025970411,41.55555555555556,1,0.0,5.926926025970411,5.926926025970411,0.0,5.926926025970411,0.0,0.8321888164348781,1.0537045155633493,1,0.6688585911699545,1,vrai positif
R002006,2025-01-11,2025-06-03,Trentino-Alto_Adige,Bolzano,montagne,TRE-3-1,3,famille,Italie,plateforme_en_ligne,voiture,143,6,2,1.0,1,aucune,oui,aucun,126.93,1,753.96,fidele,1,0,0.0,0,0,0,0,0,AG012,1,0,0,0,0,0.0,0,3.0,3.0,1,251.32000000000002,125.66000000000001,0.0,1,-1.0,1,6,1,1.2246467991473532e-16,-1.0,4.969813299576001,23.833333333333332,0,0.0,4.969813299576001,0.0,0.0,0.0,0.0,0.789144828872517,0.8218193590158629,1,0.5340865813215026,1,vrai positif
R002376,2025-01-11,2025-03-17,Toscana,Firenze,culturelle_rurale,TOS-4-1,4,loisirs_couple,Italie,plateforme_en_ligne,voiture,65,2,2,0.0,1,petit_dejeuner,non,partiel,200.42,6,376.79,nouveau,0,0,0.0,0,0,0,0,0,AG033,0,0,0,0,0,0.0,1,2.0,2.0,0,188.395,188.395,1.0,0,1.0,0,3,1,1.0,6.123233995736766e-17,4.189654742026425,32.5,0,4.189654742026425,0.0,0.0,0.0,0.0,0.0,0.8769765654345347,1.1799128694218766,0,0.2115684586709115,0,vrai négatif
