seuil,fp,fn,cout,f1
0.05,3554,2,890.5,0.40831946755407655
0.055,3534,3,886.5,0.4094172649858073
0.06,3498,3,877.5,0.41189316311103646
0.065,3462,4,869.5,0.414131169709263
0.07,3424,5,861.0,0.4165390505359878
0.075,3379,8,852.75,0.4189397838394236
0.08,3325,15,846.25,0.4209431345353675
0.085,3252,22,835.0,0.42440225035161744
0.09,3188,29,826.0,0.4272743457361581
0.095,3132,33,816.0,0.43044808349829045
0.1,3054,41,804.5,0.4342898921586547
0.105,3009,46,798.25,0.4364508393285372
0.11,2952,54,792.0,0.43876026885735625
0.115,2903,61,786.75,0.44075471698113206
0.12,2844,70,781.0,0.4430428134556575
0.125,2788,80,777.0,0.4448315911730546
0.13,2728,91,773.0,0.4467124631992149
0.135,2677,100,769.25,0.4484607745779543
0.14,2616,110,764.0,0.4508460918614021
0.145,2566,118,759.5,0.452914798206278
0.15,2507,131,757.75,0.4542821679768308
0.155,2458,141,755.5,0.45570680628272253
0.16,2415,154,757.75,0.4556050010595465
0.165,2364,164,755.0,0.45727780163160153
0.17,2298,175,749.5,0.46016153678236194
0.175,2254,181,744.5,0.4625910395056279
0.18,2222,194,749.5,0.46143557735176105
0.185,2177,202,746.25,0.4633431085043988
0.19,2129,211,743.25,0.46526508226691043
0.195,2067,221,737.75,0.4684014869888476
0.2,2022,237,742.5,0.46759368371435306
0.205,1978,247,741.5,0.46884698018620197
0.21,1937,254,738.25,0.4709007486114465
0.215,1884,264,735.0,0.47327121137812656
0.22,1836,283,742.0,0.4717028172525555
0.225,1800,305,755.0,0.46749304325828483
0.23,1754,314,752.5,0.4694715238583889
0.235,1707,325,751.75,0.4708333333333333
0.24,1659,331,745.75,0.47437929212889596
0.245,1614,350,753.5,0.4723267060720043
0.25,1569,368,760.25,0.470620388084176
0.255,1526,389,770.5,0.4673157162726008
0.26,1481,405,775.25,0.4663271080928127
0.265,1433,420,778.25,0.4661480841256122
0.27,1401,434,784.25,0.4642335766423358
0.275,1352,456,794.0,0.4609421586165772
0.28,1306,474,800.5,0.45896656534954405
0.285,1248,492,804.0,0.4586185438705663
0.29,1213,508,811.25,0.4558963009800822
0.295,1158,526,815.5,0.45501618122977344
0.3,1114,550,828.5,0.4493712772998015
0.305,1071,566,833.75,0.4475194060074249
0.31,1019,592,846.75,0.4415944540727903
0.315,986,609,855.5,0.43738977072310403
0.32,940,625,860.0,0.43562928236566895
0.325,894,645,868.5,0.4314739564093092
0.33,859,663,877.75,0.426525998492841
0.335,814,686,889.5,0.419953596287703
0.34,771,699,891.75,0.4189723320158103
0.345,737,723,907.25,0.40938511326860844
0.35,709,741,918.25,0.4023083264633141
0.355,684,758,929.0,0.3951342281879195
0.36,657,775,939.25,0.38803418803418804
0.365,628,800,957.0,0.3753280839895013
0.37,594,820,968.5,0.3664874551971326
0.375,569,841,983.25,0.3549862763037511
0.38,531,856,988.75,0.3497421472105016
0.385,509,869,996.25,0.34318398474737843
0.39,485,881,1002.25,0.3375363724539282
0.395,461,899,1014.25,0.32673267326732675
0.4,441,915,1025.25,0.3165322580645161
0.405,418,934,1038.5,0.3038105046343975
0.41,388,951,1048.0,0.2934036939313984
0.415,368,970,1062.0,0.2790948275862069
0.42,340,987,1072.0,0.2672556598564329
0.425,310,1005,1082.5,0.2541123085649461
0.43,289,1017,1089.25,0.24508670520231213
0.435,274,1029,1097.5,0.2348796241926013
0.44,260,1039,1104.0,0.22632519356759975
0.445,244,1052,1113.0,0.21454545454545454
0.45,212,1061,1114.0,0.20882535736482288
0.455,199,1068,1117.75,0.2026431718061674
0.46,184,1077,1123.0,0.19424920127795528
0.465,174,1081,1124.5,0.19084461637653127
0.47,163,1086,1126.75,0.18631921824104233
0.475,150,1096,1133.5,0.17592592592592593
0.48,145,1103,1139.25,0.168
0.485,133,1111,1144.25,0.15945945945945947
0.49,121,1120,1150.25,0.14941740918437285
0.495,113,1130,1158.25,0.13740458015267176
0.5,102,1135,1160.5,0.1319298245614035
0.505,96,1139,1163.0,0.127208480565371
0.51,88,1141,1163.0,0.12526690391459075
0.515,85,1143,1164.25,0.12285714285714286
0.52,80,1146,1166.0,0.11925287356321838
0.525,75,1150,1168.75,0.11424439624005785
0.53,67,1155,1171.75,0.10802919708029197
0.535,61,1162,1177.25,0.09874723655121592
0.54,58,1165,1179.5,0.09474463360473723
0.545,53,1167,1180.25,0.09226190476190477
0.55,53,1168,1181.25,0.09084139985107967
0.555,49,1170,1182.25,0.08825729244577413
0.56,46,1171,1182.5,0.08702175543885972
0.565,41,1176,1186.25,0.0801209372637944
0.57,34,1179,1187.5,0.07616146230007616
0.575,32,1181,1189.0,0.07333842627960276
0.58,29,1183,1190.25,0.0705521472392638
0.585,26,1184,1190.5,0.06923076923076923
0.59,26,1188,1194.5,0.06327160493827161
0.595,25,1190,1196.25,0.060324825986078884
0.6,21,1191,1196.25,0.059006211180124224
0.605,20,1197,1202.0,0.04996096799375488
0.61,16,1201,1205.0,0.04399057344854674
0.615,15,1202,1205.75,0.042486231313926044
0.62,15,1205,1208.75,0.03785488958990536
0.625,15,1205,1208.75,0.03785488958990536
0.63,14,1207,1210.5,0.034782608695652174
0.635,12,1208,1211.0,0.03328050713153724
0.64,12,1209,1212.0,0.0317208564631245
0.645,10,1212,1214.5,0.027070063694267517
0.65,10,1212,1214.5,0.027070063694267517
0.655,10,1215,1217.5,0.0223463687150838
0.66,9,1215,1217.25,0.022364217252396165
0.665,9,1216,1218.25,0.020783373301358914
0.67,8,1217,1219.0,0.01921537229783827
0.675,8,1217,1219.0,0.01921537229783827
0.68,5,1219,1220.25,0.01607717041800643
0.685,4,1219,1220.0,0.016090104585679808
0.69,2,1220,1220.5,0.014516129032258065
0.695,2,1220,1220.5,0.014516129032258065
0.7,2,1220,1220.5,0.014516129032258065
0.705,2,1221,1221.5,0.0129136400322841
0.71,2,1221,1221.5,0.0129136400322841
0.715,2,1221,1221.5,0.0129136400322841
0.72,2,1221,1221.5,0.0129136400322841
0.725,2,1222,1222.5,0.011308562197092083
0.73,2,1222,1222.5,0.011308562197092083
0.735,2,1222,1222.5,0.011308562197092083
0.74,1,1224,1224.25,0.008097165991902834
0.745,1,1224,1224.25,0.008097165991902834
0.75,1,1224,1224.25,0.008097165991902834
0.755,1,1224,1224.25,0.008097165991902834
0.76,1,1224,1224.25,0.008097165991902834
0.765,1,1225,1225.25,0.006482982171799027
0.77,1,1225,1225.25,0.006482982171799027
0.775,1,1225,1225.25,0.006482982171799027
