reservation_id,date_reservation,date_arrivee,region_hotel,ville,type_destination,hotel_id,categorie_hotel,segment_client,marche_origine,canal_reservation,moyen_transport,delai_reservation_jours,nuits,adultes,enfants,chambres,formule_repas,tarif_remboursable,type_acompte,prix_moyen_nuit_eur,remise_pct,montant_total_eur,client_type,reservations_passees,annulations_passees,demandes_speciales,modifications_reservation,jours_liste_attente,evenement_majeur,haute_saison_regionale,arrivee_weekend,agent_id,reservation_annulee
R000808,2023-01-01,2023-03-13,Campania,Napoli,urbaine_cotiere,CAM-4-2,4,loisirs_couple,Europe_Ouest,plateforme_en_ligne,avion_direct,71,4,2,0,1,aucune,non,total,165.72,3,642.99,nouveau,0,0,1,0,0,0,0,0,AG036,0
R001808,2023-01-01,2023-01-07,Lazio,Roma,urbaine_culturelle,LAZ-4-3,4,affaires,Ameriques,plateforme_en_ligne,train,6,3,2,1,1,petit_dejeuner,oui,partiel,187,0,561,fidele,9,1,2,1,0,0,0,1,AG005,1
R002130,2023-01-01,2023-03-26,Lombardia,Milano,affaires_lacs,LOM-4-2,4,loisirs_couple,Autres,agence,avion_direct,84,3,2,0,1,aucune,oui,aucun,180.61,1,536.41,nouveau,0,0,2,2,0,0,0,0,AG043,1
R003635,2023-01-01,2023-01-09,Liguria,Genova,littorale,LIG-4-1,4,famille,Ameriques,plateforme_en_ligne,voiture,8,3,2,1,1,petit_dejeuner,oui,aucun,202.1,7,563.86,nouveau,0,0,0,0,0,1,0,0,AG031,0
R004683,2023-01-01,2023-01-11,Sardegna,Cagliari,insulaire_balneaire,SAR-3-2,3,loisirs_couple,Italie,site_hotel,ferry,10,4,2,0,1,petit_dejeuner,non,total,138.89,4,533.34,nouveau,0,0,2,1,0,0,0,0,,0
R005469,2023-01-01,2023-02-28,Veneto,Venezia,urbaine_littorale,VEN-3-2,3,famille,Italie,plateforme_en_ligne,voiture,58,3,2,3,2,petit_dejeuner,non,total,171.72,5,978.8,nouveau,0,0,1,1,0,0,0,0,AG006,0
R006065,2023-01-01,2023-01-09,Liguria,Genova,littorale,LIG-3-1,3,affaires,Italie,site_hotel,voiture,8,2,2,0,1,demi_pension,oui,aucun,172.9,4,331.97,nouveau,0,0,0,0,0,0,0,0,,0
R006482,2023-01-01,2023-04-07,Campania,Napoli,urbaine_cotiere,CAM-3-2,3,solo,Ameriques,plateforme_en_ligne,train,96,5,1,0,1,petit_dejeuner,oui,aucun,253.64,8,1166.74,nouveau,0,0,1,0,0,0,1,1,AG039,1
R008554,2023-01-01,2023-03-04,Liguria,Genova,littorale,LIG-3-2,3,affaires,Ameriques,site_hotel,train,62,1,2,0,1,aucune,oui,aucun,173.47,11,154.39,fidele,12,2,1,0,0,0,0,1,,0
R000232,2023-01-02,2023-01-30,Veneto,Venezia,urbaine_littorale,VEN-5-2,5,loisirs_couple,Italie,agence,avion_direct,28,6,2,0,1,aucune,oui,aucun,236.59,8,1305.98,fidele,7,1,1,0,0,0,0,0,AG021,1
